recommender,poi,district,neighbourhood,lat,lon,visits,capacity,utilization,popularity,sustainability,local_value,run
sustainable,Montjuic Castle,Sants-Montjuic,Montjuic,41.3634,2.165,95,650,0.14615384615384616,0.66,0.7,0.5,0
sustainable,MNAC,Sants-Montjuic,Montjuic,41.3688,2.1535,145,600,0.24166666666666667,0.68,0.61,0.48,0
sustainable,Joan Miro Foundation,Sants-Montjuic,Montjuic,41.3686,2.1597,78,350,0.22285714285714286,0.58,0.62,0.45,0
sustainable,Poble Espanyol,Sants-Montjuic,Font de la Guatlla,41.3689,2.1479,187,700,0.2671428571428571,0.62,0.6,0.75,0
sustainable,Magic Fountain,Sants-Montjuic,Font de la Guatlla,41.3712,2.1517,40,1500,0.02666666666666667,0.73,0.49,0.48,0
sustainable,Camp Nou Museum,Les Corts,La Maternitat,41.3809,2.1228,32,750,0.042666666666666665,0.77,0.38,0.43,0
sustainable,Pedralbes Monastery,Les Corts,Pedralbes,41.3958,2.1128,224,260,0.8615384615384616,0.36,0.72,0.62,0
sustainable,Tibidabo Temple,Sarria-Sant Gervasi,Vallvidrera,41.4225,2.1186,203,420,0.48333333333333334,0.55,0.78,0.58,0
sustainable,Tibidabo Amusement Park,Sarria-Sant Gervasi,Vallvidrera,41.4217,2.1192,24,800,0.03,0.63,0.58,0.54,0
sustainable,CosmoCaixa,Sarria-Sant Gervasi,Sant Gervasi,41.4133,2.1315,188,600,0.31333333333333335,0.61,0.7,0.5,0
sustainable,Bunkers del Carmel,Horta-Guinardo,El Carmel,41.4186,2.1619,118,500,0.236,0.65,0.66,0.42,0
sustainable,Hospital Sant Pau,Horta-Guinardo,Guinardo,41.4122,2.1744,232,450,0.5155555555555555,0.64,0.64,0.52,0
sustainable,Labyrinth Park of Horta,Horta-Guinardo,Horta,41.439,2.1458,185,350,0.5285714285714286,0.32,0.88,0.64,0
sustainable,Mercat dels Encants,Sant Marti,Fort Pienc,41.4031,2.1873,301,650,0.46307692307692305,0.43,0.78,0.88,0
sustainable,Design Museum,Sant Marti,Fort Pienc,41.4025,2.1877,105,330,0.3181818181818182,0.45,0.7,0.55,0
sustainable,Poblenou Rambla,Sant Marti,Poblenou,41.4004,2.2035,295,700,0.42142857142857143,0.4,0.68,0.84,0
sustainable,Bogatell Beach,Sant Marti,Poblenou,41.3912,2.2045,171,1200,0.1425,0.47,0.72,0.58,0
sustainable,Can Framis Museum,Sant Marti,Poblenou,41.4045,2.1963,86,220,0.39090909090909093,0.24,0.73,0.62,0
sustainable,Sant Antoni Market,Eixample,Sant Antoni,41.3789,2.1607,412,700,0.5885714285714285,0.49,0.76,0.9,0
sustainable,Passeig de Gracia,Eixample,Dreta de l'Eixample,41.3925,2.1647,238,1600,0.14875,0.83,0.43,0.62,0
sustainable,Gracia Squares,Gracia,Vila de Gracia,41.4034,2.1586,472,750,0.6293333333333333,0.48,0.71,0.86,0
sustainable,Casa Vicens,Gracia,Vila de Gracia,41.4036,2.1506,106,270,0.3925925925925926,0.46,0.62,0.5,0
sustainable,El Born Cultural Centre,Ciutat Vella,Born,41.3854,2.1835,214,500,0.428,0.5,0.75,0.72,0
sustainable,Maritime Museum,Ciutat Vella,Raval,41.3769,2.1745,62,390,0.15897435897435896,0.38,0.68,0.54,0
sustainable,History Museum of Catalonia,Ciutat Vella,Barceloneta,41.3803,2.1854,102,350,0.2914285714285714,0.42,0.72,0.64,0
sustainable,Palau Guell,Ciutat Vella,Raval,41.3788,2.174,50,260,0.19230769230769232,0.51,0.6,0.5,0
sustainable,Recinte Fabra i Coats,Sant Andreu,Sant Andreu,41.4339,2.1901,191,300,0.6366666666666667,0.2,0.84,0.82,0
sustainable,Sant Andreu Old Town,Sant Andreu,Sant Andreu,41.435,2.1905,407,600,0.6783333333333333,0.22,0.8,0.86,0
sustainable,Nou Barris Central Park,Nou Barris,La Guineueta,41.4419,2.1687,378,700,0.54,0.18,0.9,0.72,0
sustainable,Turo de la Peira Park,Nou Barris,Turo de la Peira,41.4319,2.166,250,500,0.5,0.16,0.88,0.66,0
sustainable,Sants Market,Sants-Montjuic,Sants,41.3753,2.136,275,500,0.55,0.3,0.78,0.88,0
sustainable,Can Batllo,Sants-Montjuic,La Bordeta,41.3695,2.1338,147,280,0.525,0.18,0.86,0.84,0
