recommender,poi,district,neighbourhood,lat,lon,visits,capacity,utilization,popularity,sustainability,local_value,run
personalized,Design Museum,Sant Marti,Fort Pienc,41.4025,2.1877,100,330,0.30303030303030304,0.45,0.7,0.55,2
personalized,Poblenou Rambla,Sant Marti,Poblenou,41.4004,2.2035,270,700,0.38571428571428573,0.4,0.68,0.84,2
personalized,Bogatell Beach,Sant Marti,Poblenou,41.3912,2.2045,330,1200,0.275,0.47,0.72,0.58,2
personalized,Can Framis Museum,Sant Marti,Poblenou,41.4045,2.1963,44,220,0.2,0.24,0.73,0.62,2
personalized,Sant Antoni Market,Eixample,Sant Antoni,41.3789,2.1607,159,700,0.22714285714285715,0.49,0.76,0.9,2
personalized,Passeig de Gracia,Eixample,Dreta de l'Eixample,41.3925,2.1647,609,1600,0.380625,0.83,0.43,0.62,2
personalized,Gracia Squares,Gracia,Vila de Gracia,41.4034,2.1586,269,750,0.3586666666666667,0.48,0.71,0.86,2
personalized,Casa Vicens,Gracia,Vila de Gracia,41.4036,2.1506,10,270,0.037037037037037035,0.46,0.62,0.5,2
personalized,El Born Cultural Centre,Ciutat Vella,Born,41.3854,2.1835,153,500,0.306,0.5,0.75,0.72,2
personalized,Maritime Museum,Ciutat Vella,Raval,41.3769,2.1745,18,390,0.046153846153846156,0.38,0.68,0.54,2
personalized,History Museum of Catalonia,Ciutat Vella,Barceloneta,41.3803,2.1854,33,350,0.09428571428571429,0.42,0.72,0.64,2
personalized,Palau Guell,Ciutat Vella,Raval,41.3788,2.174,47,260,0.18076923076923077,0.51,0.6,0.5,2
personalized,Recinte Fabra i Coats,Sant Andreu,Sant Andreu,41.4339,2.1901,2,300,0.006666666666666667,0.2,0.84,0.82,2
personalized,Sant Andreu Old Town,Sant Andreu,Sant Andreu,41.435,2.1905,32,600,0.05333333333333334,0.22,0.8,0.86,2
personalized,Nou Barris Central Park,Nou Barris,La Guineueta,41.4419,2.1687,98,700,0.14,0.18,0.9,0.72,2
personalized,Turo de la Peira Park,Nou Barris,Turo de la Peira,41.4319,2.166,71,500,0.142,0.16,0.88,0.66,2
personalized,Sants Market,Sants-Montjuic,Sants,41.3753,2.136,129,500,0.258,0.3,0.78,0.88,2
personalized,Can Batllo,Sants-Montjuic,La Bordeta,41.3695,2.1338,18,280,0.06428571428571428,0.18,0.86,0.84,2
personalized,Collserola Viewpoints,Sarria-Sant Gervasi,Collserola,41.4269,2.1005,41,650,0.06307692307692307,0.28,0.93,0.52,2
personalized,MUHBA Placa del Rei,Ciutat Vella,Gotic,41.3849,2.1772,109,300,0.36333333333333334,0.44,0.7,0.54,2
personalized,Raval Street Art Route,Ciutat Vella,Raval,41.3802,2.1697,34,500,0.068,0.34,0.74,0.82,2
personalized,El Clot Park,Sant Marti,El Clot,41.4101,2.1885,27,550,0.04909090909090909,0.21,0.88,0.66,2
personalized,Forum Park,Sant Marti,Diagonal Mar,41.4117,2.2269,164,1000,0.164,0.31,0.76,0.55,2
personalized,Diagonal Mar Park,Sant Marti,Diagonal Mar,41.4075,2.2165,253,800,0.31625,0.29,0.86,0.62,2
sustainable,Sagrada Familia,Eixample,Sagrada Familia,41.4036,2.1744,113,900,0.12555555555555556,0.99,0.45,0.45,2
