recommender,district,visits,visit_share,spend,spend_share,run
popularity,Ciutat Vella,5682,0.5207588671982403,76249.2399999982,0.38866571183927756,5
popularity,Eixample,2450,0.22454403812666116,67429.0399999999,0.3437064530772989,5
popularity,Gracia,1190,0.10906424709009256,24947.99999999992,0.1271675911650594,5
popularity,Horta-Guinardo,27,0.002474566950783613,417.8800000000001,0.0021300622493207956,5
popularity,Les Corts,119,0.010906424709009257,3019.519999999994,0.015391417543479263,5
popularity,Nou Barris,259,0.023737512601961323,3268.0800000000127,0.016658403933570237,5
popularity,Sant Andreu,6,0.0005499037668408029,90.0,0.00045875754388549714,5
popularity,Sant Marti,559,0.051232700944001466,7922.259999999949,0.04038218377358106,5
popularity,Sants-Montjuic,450,0.04124278251306021,9228.880000000045,0.0470424257957112,5
popularity,Sarria-Sant Gervasi,169,0.01548895609934928,3609.1599999999985,0.018396993078775337,5
personalized,Ciutat Vella,4628,0.4272525849335303,66633.66000000008,0.37377771639800433,5
personalized,Eixample,1564,0.14438700147710487,34316.420000000144,0.19249600130857053,5
personalized,Gracia,635,0.058622599704579025,12105.4799999999,0.06790499981993592,5
personalized,Horta-Guinardo,240,0.022156573116691284,4306.320000000002,0.024156056498758332,5
personalized,Les Corts,143,0.013201624815361891,3426.939999999992,0.019223224529959372,5
personalized,Nou Barris,305,0.028157311669128507,3812.400000000016,0.021385440421489023,5
personalized,Sant Andreu,121,0.011170605612998524,1855.080000000001,0.010405965485546037,5
personalized,Sant Marti,1771,0.1634970457902511,22851.180000000044,0.12818239126291062,5
personalized,Sants-Montjuic,998,0.0921344165435746,21290.219999999943,0.11942627514699163,5
personalized,Sarria-Sant Gervasi,427,0.039420236336779914,7673.119999999971,0.0430419291278288,5
sustainable,Ciutat Vella,3261,0.30439652758331,48377.88000000026,0.2699173474409171,5
sustainable,Eixample,1153,0.10762624848315132,25525.760000000122,0.14241726654027542,5
sustainable,Gracia,784,0.0731821151871558,15047.319999999858,0.08395433409844748,5
sustainable,Horta-Guinardo,510,0.047605712685522265,8851.040000000045,0.04938309076159299,5
sustainable,Les Corts,292,0.02725660412582843,6852.939999999966,0.038234982330183534,5
sustainable,Nou Barris,602,0.056193409875851766,7527.600000000035,0.041999149706358485,5
sustainable,Sant Andreu,490,0.04573882199197237,7472.879999999968,0.041693847422505106,5
sustainable,Sant Marti,1783,0.16643330532997294,23557.200000000048,0.13143397224382614,5
sustainable,Sants-Montjuic,1133,0.10575935778960142,23380.779999999922,0.1304496625048388,5
sustainable,Sarria-Sant Gervasi,705,0.06580789694763371,12638.800000000067,0.07051634695105,5
popularity,Ciutat Vella,5558,0.5137733407284156,74457.59999999857,0.3824694122479035,6
popularity,Eixample,2414,0.2231466075060085,66350.81999999985,0.34082698243788234,6
popularity,Gracia,1150,0.10630430763542244,24144.759999999922,0.12402538043217667,6
popularity,Horta-Guinardo,32,0.002958032908116103,544.8000000000001,0.0027984965375282287,6
popularity,Les Corts,109,0.010075799593270474,2799.1799999999957,0.014378662881641436,6
popularity,Nou Barris,321,0.029672767609539658,4048.9200000000164,0.020798253672409766,6
popularity,Sant Andreu,3,0.00027731558513588466,44.28,0.00022745489479028994,6
popularity,Sant Marti,615,0.05684969495285635,8865.13999999995,0.04553792877148102,6
popularity,Sants-Montjuic,430,0.03974856720281013,8748.860000000039,0.0449406285193086,6
popularity,Sarria-Sant Gervasi,186,0.017193566278424846,4671.599999999996,0.023996799604840052,6
personalized,Ciutat Vella,4552,0.42074128847398096,65420.98000000028,0.3667984736657548,6
personalized,Eixample,1536,0.1419724558646825,33684.480000000134,0.18886014624398229,6
