recommender,neighbourhood,visits,share,run
crowd_aware,La Bordeta,61,0.005895998453508603,2
crowd_aware,La Guineueta,180,0.017398028223468007,2
crowd_aware,La Maternitat,128,0.012371931181132804,2
crowd_aware,La Salut,246,0.02377730523873961,2
crowd_aware,Montjuic,482,0.04658805335395322,2
crowd_aware,Pedralbes,82,0.007925768412913203,2
crowd_aware,Poblenou,718,0.06939880146916683,2
crowd_aware,Raval,635,0.06137637734390102,2
crowd_aware,Raval/Gotic,574,0.05548037889039242,2
crowd_aware,Sagrada Familia,301,0.029093369418132613,2
crowd_aware,Sant Andreu,166,0.016044848250531606,2
crowd_aware,Sant Antoni,236,0.022810748115213608,2
crowd_aware,Sant Gervasi,187,0.018074618209936208,2
crowd_aware,Sant Pere,727,0.07026870288034023,2
crowd_aware,Sants,218,0.021070945292866808,2
crowd_aware,Turo de la Peira,131,0.012661898318190605,2
crowd_aware,Vallvidrera,240,0.023197370964624008,2
crowd_aware,Vila de Gracia,357,0.03450608930987822,2
sustainable,Barceloneta,421,0.03933476595347099,2
sustainable,Born,387,0.03615808651779875,2
sustainable,Collserola,235,0.021956460805381668,2
sustainable,Diagonal Mar,466,0.043539194618331306,2
sustainable,Dreta de l'Eixample,633,0.059142296552368495,2
sustainable,El Carmel,142,0.013267308231337009,2
sustainable,El Clot,163,0.015229374941605157,2
sustainable,Font de la Guatlla,232,0.02167616556105765,2
sustainable,Fort Pienc,416,0.038867607212930956,2
sustainable,Gotic,835,0.07801550967018593,2
sustainable,Guinardo,210,0.01962066710268149,2
sustainable,Horta,168,0.015696533682145193,2
sustainable,La Bordeta,105,0.009810333551340745,2
sustainable,La Guineueta,357,0.033355134074558535,2
sustainable,La Maternitat,115,0.010744651032420817,2
sustainable,La Salut,223,0.020835279828085584,2
sustainable,Montjuic,508,0.04746332803886761,2
sustainable,Pedralbes,173,0.016163692422685227,2
sustainable,Poblenou,727,0.06792488087452116,2
sustainable,Raval,564,0.052695505932916005,2
sustainable,Raval/Gotic,389,0.03634495001401476,2
sustainable,Sagrada Familia,194,0.01812575913295338,2
sustainable,Sant Andreu,479,0.0447538073437354,2
sustainable,Sant Antoni,329,0.030739045127534337,2
sustainable,Sant Gervasi,214,0.01999439409511352,2
sustainable,Sant Pere,645,0.06026347752966458,2
sustainable,Sants,292,0.027282070447538075,2
sustainable,Turo de la Peira,259,0.02419882275997384,2
sustainable,Vallvidrera,270,0.02522657198916192,2
sustainable,Vila de Gracia,552,0.05157432495561992,2
random,Barceloneta,478,0.04337568058076225,3
random,Born,491,0.04455535390199637,3
random,Collserola,235,0.02132486388384755,3
random,Diagonal Mar,529,0.04800362976406534,3
random,Dreta de l'Eixample,555,0.050362976406533574,3
random,El Carmel,242,0.021960072595281308,3
random,El Clot,212,0.019237749546279492,3
random,Font de la Guatlla,200,0.018148820326678767,3
random,Fort Pienc,492,0.044646098003629765,3
random,Gotic,822,0.07459165154264973,3
random,Guinardo,113,0.010254083484573503,3
random,Horta,172,0.01560798548094374,3
random,La Bordeta,169,0.015335753176043557,3
random,La Guineueta,330,0.029945553539019964,3
random,La Maternitat,64,0.005807622504537205,3
random,La Salut,191,0.01733212341197822,3
random,Montjuic,558,0.05063520871143376,3
random,Pedralbes,185,0.01678765880217786,3
random,Poblenou,814,0.07386569872958258,3
random,Raval,841,0.07631578947368421,3
random,Raval/Gotic,455,0.04128856624319419,3
random,Sagrada Familia,151,0.013702359346642469,3
random,Sant Andreu,350,0.03176043557168784,3
random,Sant Antoni,232,0.021052631578947368,3
random,Sant Gervasi,223,0.020235934664246825,3
random,Sant Pere,609,0.05526315789473684,3
random,Sants,307,0.027858439201451906,3
random,Turo de la Peira,268,0.024319419237749548,3
random,Vallvidrera,249,0.022595281306715065,3
random,Vila de Gracia,483,0.04382940108892922,3
popularity,Barceloneta,697,0.06413913683629337,3
popularity,Born,224,0.02061286463605411,3
popularity,Collserola,11,0.0010122388883776572,3
popularity,Diagonal Mar,56,0.0051532161590135276,3
popularity,Dreta de l'Eixample,1597,0.14695868224901076,3
popularity,El Carmel,14,0.0012883040397533819,3
popularity,El Clot,1,9.202171712524156e-05,3
popularity,Font de la Guatlla,80,0.007361737370019324,3
popularity,Fort Pienc,182,0.016747952516793962,3
popularity,Gotic,2303,0.2119260145394313,3
popularity,Guinardo,15,0.0013803257568786233,3
popularity,Horta,2,0.00018404343425048312,3
popularity,La Bordeta,0,0.0,3
popularity,La Guineueta,197,0.018128278273672586,3
popularity,La Maternitat,54,0.004969172724763044,3
popularity,La Salut,972,0.0894451090457348,3
popularity,Montjuic,184,0.016931995951044446,3
popularity,Pedralbes,47,0.004325020704886353,3
popularity,Poblenou,408,0.03754486058709856,3
popularity,Raval,729,0.06708383178430109,3
popularity,Raval/Gotic,1239,0.1140149075181743,3
popularity,Sagrada Familia,772,0.07104076562068648,3
popularity,Sant Andreu,6,0.0005521303027514493,3
popularity,Sant Antoni,18,0.001656390908254348,3
popularity,Sant Gervasi,90,0.00828195454127174,3
popularity,Sant Pere,402,0.0369927302843471,3
popularity,Sants,196,0.018036256556547343,3
popularity,Turo de la Peira,91,0.008373976258396981,3
popularity,Vallvidrera,75,0.006901628784393116,3
popularity,Vila de Gracia,205,0.01886445201067452,3
personalized,Barceloneta,634,0.05808520384791571,3
personalized,Born,453,0.041502519468621164,3
personalized,Collserola,110,0.010077874484654145,3
personalized,Diagonal Mar,530,0.04855703160787907,3
personalized,Dreta de l'Eixample,1043,0.09555657352267521,3
personalized,El Carmel,83,0.007604214383875401,3
personalized,El Clot,87,0.007970682546953734,3
personalized,Font de la Guatlla,241,0.022079706825469538,3
personalized,Fort Pienc,361,0.03307375171781952,3
personalized,Gotic,1278,0.11708657810352725,3
personalized,Guinardo,123,0.011268896014658726,3
personalized,Horta,41,0.0037562986715529087,3
personalized,La Bordeta,43,0.003939532753092075,3
personalized,La Guineueta,197,0.01804855703160788,3
personalized,La Maternitat,64,0.005863490609253321,3
personalized,La Salut,247,0.022629409070087037,3
personalized,Montjuic,478,0.043792945487860745,3
personalized,Pedralbes,91,0.008337150710032066,3
personalized,Poblenou,833,0.07631699496106276,3
personalized,Raval,657,0.060192395785616123,3
personalized,Raval/Gotic,726,0.06651397159871736,3
personalized,Sagrada Familia,287,0.02629409070087036,3
personalized,Sant Andreu,116,0.010627576729271644,3
personalized,Sant Antoni,235,0.02153000458085204,3
personalized,Sant Gervasi,195,0.017865322950068714,3
personalized,Sant Pere,826,0.07567567567567568,3
personalized,Sants,246,0.022537792029317452,3
personalized,Turo de la Peira,143,0.01310123683005039,3
personalized,Vallvidrera,159,0.01456710948236372,3
personalized,Vila de Gracia,388,0.03554741181859826,3
crowd_aware,Barceloneta,632,0.06079261254328588,3
crowd_aware,Born,362,0.03482108503270489,3
crowd_aware,Collserola,157,0.015101962293189688,3
crowd_aware,Diagonal Mar,511,0.04915352058484032,3
crowd_aware,Dreta de l'Eixample,965,0.0928241631396691,3
crowd_aware,El Carmel,111,0.010677183532127741,3
crowd_aware,El Clot,119,0.011446710273181993,3
crowd_aware,Font de la Guatlla,231,0.022220084647941517,3
crowd_aware,Fort Pienc,312,0.030011542901115813,3
crowd_aware,Gotic,1085,0.10436706425548288,3
crowd_aware,Guinardo,132,0.012697191227395151,3
crowd_aware,Horta,67,0.006444786456329357,3
crowd_aware,La Bordeta,56,0.005386687187379761,3
crowd_aware,La Guineueta,193,0.01856483262793382,3
crowd_aware,La Maternitat,134,0.012889572912658714,3
crowd_aware,La Salut,250,0.024047710657945365,3
crowd_aware,Montjuic,490,0.04713351288957291,3
crowd_aware,Pedralbes,83,0.00798383993843786,3
crowd_aware,Poblenou,731,0.07031550596383224,3
crowd_aware,Raval,634,0.060984994228549444,3
crowd_aware,Raval/Gotic,566,0.0544440169295883,3
crowd_aware,Sagrada Familia,293,0.028183916891111965,3
crowd_aware,Sant Andreu,175,0.016833397460561755,3
crowd_aware,Sant Antoni,235,0.02260484801846864,3
crowd_aware,Sant Gervasi,187,0.017987687572143134,3
crowd_aware,Sant Pere,736,0.07079646017699115,3
crowd_aware,Sants,214,0.02058484032320123,3
crowd_aware,Turo de la Peira,136,0.013081954597922277,3
crowd_aware,Vallvidrera,243,0.023374374759522892,3
crowd_aware,Vila de Gracia,356,0.034243939976914196,3
sustainable,Barceloneta,439,0.04094385375862712,3
