recommender,from_district,to_district,transitions,avg_distance_km,avg_travel_time_hours
personalized,Start,Sarria-Sant Gervasi,359,4.442135106581764,0.7412418350496436
popularity,Ciutat Vella,Ciutat Vella,6280,0.3555393945015114,0.04831108328963174
popularity,Ciutat Vella,Eixample,1673,1.932152282251388,0.26836201719269104
popularity,Ciutat Vella,Gracia,674,3.9939353658262173,0.5480152583495607
popularity,Eixample,Ciutat Vella,1676,1.9202144074564933,0.2757804355240765
popularity,Eixample,Eixample,2349,1.1604427640209587,0.16406643822907052
popularity,Eixample,Gracia,769,2.343638557364955,0.3216170804133054
popularity,Gracia,Ciutat Vella,2348,3.9934176845910136,0.609051359501338
popularity,Gracia,Eixample,717,2.258166159923695,0.3249982391299358
popularity,Start,Ciutat Vella,4161,0.9235669215941342,0.1322004422122194
popularity,Start,Eixample,2380,1.5798335875596974,0.2252998885831204
popularity,Start,Gracia,2449,3.2922967848156484,0.5219146195817763
sustainable,Ciutat Vella,Ciutat Vella,1514,0.712094361452792,0.07972820590920834
sustainable,Ciutat Vella,Eixample,450,1.5851475335186824,0.19765404151005225
sustainable,Ciutat Vella,Gracia,205,3.061763968539574,0.46197268562215277
sustainable,Ciutat Vella,Horta-Guinardo,120,3.6827012736895566,0.5961281130947825
sustainable,Ciutat Vella,Les Corts,30,5.146161618629393,0.8001426043110859
sustainable,Ciutat Vella,Nou Barris,2,5.687097511150981,1.354070835988329
sustainable,Ciutat Vella,Sant Andreu,72,5.504364694404801,0.9500628454245275
sustainable,Ciutat Vella,Sant Marti,1129,2.5456371147467496,0.30788594216449733
sustainable,Ciutat Vella,Sants-Montjuic,495,2.7716899515976188,0.4012566080004615
sustainable,Ciutat Vella,Sarria-Sant Gervasi,10,6.158341989103295,1.131074580752459
sustainable,Eixample,Ciutat Vella,573,1.5146199533229054,0.18953931559065992
sustainable,Eixample,Eixample,190,1.261004258645011,0.15274897142079766
sustainable,Eixample,Gracia,229,2.4308992839888677,0.2962067843553942
sustainable,Eixample,Horta-Guinardo,92,1.8610563089484702,0.2658045597069096
sustainable,Eixample,Les Corts,61,4.398317891014624,0.6364972545298163
sustainable,Eixample,Nou Barris,2,4.942784007016447,0.8377374066616545
sustainable,Eixample,Sant Andreu,74,5.082973379072346,0.9600076421707189
sustainable,Eixample,Sant Marti,324,3.378653172788957,0.4987719884767179
sustainable,Eixample,Sants-Montjuic,367,2.2230645831726563,0.28417535447624426
sustainable,Eixample,Sarria-Sant Gervasi,39,4.734016715567823,0.7392273293341235
sustainable,Gracia,Ciutat Vella,209,3.0392357800577448,0.4701497062048234
sustainable,Gracia,Eixample,139,2.517853416366519,0.34476034231677805
sustainable,Gracia,Gracia,18,1.1528893352222673,0.10917220552201827
sustainable,Gracia,Horta-Guinardo,272,2.161396378574038,0.28701146552542656
sustainable,Gracia,Les Corts,62,3.6007683051879598,0.5659240925519786
sustainable,Gracia,Nou Barris,105,2.950810784929301,0.409770251724422
sustainable,Gracia,Sant Andreu,277,4.381321468140267,0.6860396766937491
sustainable,Gracia,Sant Marti,205,3.252486450279009,0.47157456587790253
sustainable,Gracia,Sants-Montjuic,84,4.004542247579179,0.791673885053945
sustainable,Gracia,Sarria-Sant Gervasi,158,3.373430371083462,0.5203647917360881
sustainable,Horta-Guinardo,Ciutat Vella,81,3.608563696680589,0.6509751932889131
sustainable,Horta-Guinardo,Eixample,42,1.6140475867712678,0.23576815399050743
sustainable,Horta-Guinardo,Gracia,169,2.0915307761564956,0.35337031092491994
sustainable,Horta-Guinardo,Horta-Guinardo,36,2.5929234223488566,0.3839518298976411
sustainable,Horta-Guinardo,Les Corts,16,5.456959452901067,1.0356153300358562
sustainable,Horta-Guinardo,Nou Barris,76,1.9817123946649449,0.30759144616850514
sustainable,Horta-Guinardo,Sant Andreu,266,2.9633274481674294,0.44068184271329797
sustainable,Horta-Guinardo,Sant Marti,64,2.4270551506334592,0.39385766573650266
sustainable,Horta-Guinardo,Sants-Montjuic,5,5.079003105150229,1.0504651701074958
sustainable,Horta-Guinardo,Sarria-Sant Gervasi,54,4.028888026846232,0.6644350894047867
sustainable,Les Corts,Ciutat Vella,26,5.054197548890623,1.0300382605925837
sustainable,Les Corts,Eixample,50,4.268845653277377,0.8409699057200047
sustainable,Les Corts,Gracia,71,3.5895780144383367,0.5838430615262222
sustainable,Les Corts,Horta-Guinardo,41,5.460856765345977,1.1929251703109416
sustainable,Les Corts,Sant Marti,1,6.291646062656843,1.4980109672992483
sustainable,Les Corts,Sants-Montjuic,111,3.2618087339670243,0.5767185833925961
sustainable,Les Corts,Sarria-Sant Gervasi,248,3.058545035761308,0.47187119838853114
sustainable,Nou Barris,Gracia,4,3.570531058679747,0.6351610686619795
sustainable,Nou Barris,Horta-Guinardo,204,1.9077162346872292,0.275533328674396
sustainable,Nou Barris,Nou Barris,614,1.134499888839126,0.16665405080802762
sustainable,Nou Barris,Sant Andreu,30,1.9932001612156343,0.35766288213879194
sustainable,Nou Barris,Sant Marti,34,4.8410551978378455,0.9920825422155083
sustainable,Nou Barris,Sarria-Sant Gervasi,301,5.676385983720883,0.9291783921912918
sustainable,Sant Andreu,Ciutat Vella,39,5.64929879291296,1.137204580423841
sustainable,Sant Andreu,Eixample,29,5.022673563353834,1.107010299318416
sustainable,Sant Andreu,Gracia,105,4.421225142868629,0.7865699361281613
sustainable,Sant Andreu,Horta-Guinardo,157,3.3923481700070877,0.5799818487134927
sustainable,Sant Andreu,Nou Barris,61,1.9835292544101009,0.30353262100511996
sustainable,Sant Andreu,Sant Andreu,122,0.12677836823718092,0.019781285207967632
sustainable,Sant Andreu,Sant Marti,391,3.5170999553037987,0.6238719660782497
sustainable,Sant Andreu,Sarria-Sant Gervasi,34,5.861895791410028,1.2237288733495735
sustainable,Sant Marti,Ciutat Vella,369,2.8325719458589873,0.45057282002523674
sustainable,Sant Marti,Eixample,80,3.0214333974820256,0.5580650171277333
sustainable,Sant Marti,Gracia,132,3.2745231442906184,0.4925190436111637
sustainable,Sant Marti,Horta-Guinardo,107,2.9188709972160436,0.4338064386052069
sustainable,Sant Marti,Nou Barris,256,4.981360244718437,0.7366513972848021
sustainable,Sant Marti,Sant Andreu,588,3.5465965781795408,0.5018850490817865
sustainable,Sant Marti,Sant Marti,1013,1.8451932590358189,0.22328341249133885
sustainable,Sant Marti,Sants-Montjuic,41,5.26387210534361,1.092060315902063
sustainable,Sant Marti,Sarria-Sant Gervasi,8,6.153291481800613,0.8461770779855153
sustainable,Sants-Montjuic,Ciutat Vella,664,2.949257829420538,0.4541490804148349
sustainable,Sants-Montjuic,Eixample,481,2.26170934173918,0.31723004764797424
sustainable,Sants-Montjuic,Gracia,127,3.881288052051253,0.6989862888958498
sustainable,Sants-Montjuic,Horta-Guinardo,23,5.27856625458969,1.1433427720404743
sustainable,Sants-Montjuic,Les Corts,127,3.2487070003890395,0.4396332096480579
sustainable,Sants-Montjuic,Sant Andreu,2,8.563269050422976,1.376239668817978
sustainable,Sants-Montjuic,Sant Marti,106,5.383544581847268,1.0241651102884894
sustainable,Sants-Montjuic,Sants-Montjuic,483,1.1999940125834387,0.1365676511757634
sustainable,Sants-Montjuic,Sarria-Sant Gervasi,56,5.5684801523910155,0.8574521483730484
sustainable,Sarria-Sant Gervasi,Ciutat Vella,24,6.009872858016081,1.11021269202138
sustainable,Sarria-Sant Gervasi,Eixample,20,5.062844958440137,0.9799158029751439
sustainable,Sarria-Sant Gervasi,Gracia,71,3.142758134517432,0.44644337412690605
sustainable,Sarria-Sant Gervasi,Horta-Guinardo,183,3.368799170724335,0.557020399628183
sustainable,Sarria-Sant Gervasi,Les Corts,91,3.1375106328629627,0.5023178134323553
sustainable,Sarria-Sant Gervasi,Nou Barris,211,5.3109291751525145,0.7440222838681978
sustainable,Sarria-Sant Gervasi,Sant Andreu,51,5.751608433437105,1.0683947495616455
sustainable,Sarria-Sant Gervasi,Sant Marti,14,6.077151193737195,1.242102283112756
sustainable,Sarria-Sant Gervasi,Sants-Montjuic,15,5.409759817708582,0.8839557064561369
sustainable,Sarria-Sant Gervasi,Sarria-Sant Gervasi,396,2.510360862708304,0.345503387566459
sustainable,Start,Ciutat Vella,2275,1.196164008295084,0.1442985301569599
sustainable,Start,Eixample,1062,1.0616420313327593,0.1361783984841939
sustainable,Start,Gracia,1022,2.3152939718159447,0.32991188461892684
sustainable,Start,Horta-Guinardo,372,3.0716227854242826,0.5323914929567669
sustainable,Start,Les Corts,366,4.6701543976553435,0.8743398139041247
sustainable,Start,Nou Barris,545,5.568488915359661,0.8954389615749337
sustainable,Start,Sant Andreu,293,5.56327894750927,1.2335934812780929
sustainable,Start,Sant Marti,1169,3.1802398057566545,0.48826767118575104
sustainable,Start,Sants-Montjuic,1301,2.8695531900004725,0.4282513920189755
sustainable,Start,Sarria-Sant Gervasi,592,4.701611048072428,0.7918690493467718
